,pax_id,origin,destination,treq,tdep,ttrav,tarr,tdrop,shareable,schedule_id,dist,car_park_cost,dest_center,platform,ride_id,position,sim_schedule
479,479,44858065,44810830,2023-06-24 15:25:25,,0 days 00:03:27,2023-06-24 15:28:52,,False,,2071,7.5,False,100,479,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44858065.0  NaN   479.0     o
2  44810830.0  NaN   479.0     d"
480,480,44861089,2162658839,2023-06-24 15:26:44,,0 days 00:03:56,2023-06-24 15:30:40,,False,,2363,7.5,False,100,480,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.486109e+07  NaN   480.0     o
2  2.162659e+09  NaN   480.0     d"
481,481,44909275,1576632851,2023-06-24 15:27:14,,0 days 00:06:31,2023-06-24 15:33:45,,False,,3917,7.5,False,100,481,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.490928e+07  NaN   481.0     o
2  1.576633e+09  NaN   481.0     d"
482,482,44715978,4349049083,2023-06-24 15:30:18,,0 days 00:05:17,2023-06-24 15:35:35,,False,,3175,7.5,False,100,482,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.471598e+07  NaN   482.0     o
2  4.349049e+09  NaN   482.0     d"
483,483,44844070,1833104242,2023-06-24 15:30:44,,0 days 00:04:30,2023-06-24 15:35:14,,False,,2700,7.5,False,100,483,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.484407e+07  NaN   483.0     o
2  1.833104e+09  NaN   483.0     d"
484,484,1568976634,5356459940,2023-06-24 15:31:18,,0 days 00:03:50,2023-06-24 15:35:08,,False,,2306,7.5,False,100,484,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.568977e+09  NaN   484.0     o
2  5.356460e+09  NaN   484.0     d"
485,485,44795688,4554554060,2023-06-24 15:31:38,,0 days 00:05:16,2023-06-24 15:36:54,,False,,3160,7.5,False,100,485,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.479569e+07  NaN   485.0     o
2  4.554554e+09  NaN   485.0     d"
486,486,44813852,44767106,2023-06-24 15:32:07,,0 days 00:04:36,2023-06-24 15:36:43,,False,,2769,7.5,False,100,486,0,"         node time  req_id    od
0         NaN  NaN     NaN  None
1  44813852.0  NaN   486.0     o
2  44767106.0  NaN   486.0     d"
487,487,44773458,4017942939,2023-06-24 15:33:08,,0 days 00:05:34,2023-06-24 15:38:42,,False,,3343,7.5,False,100,487,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.477346e+07  NaN   487.0     o
2  4.017943e+09  NaN   487.0     d"
488,488,1436427064,44851133,2023-06-24 15:34:56,,0 days 00:05:02,2023-06-24 15:39:58,,False,,3027,7.5,False,100,488,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  1.436427e+09  NaN   488.0     o
2  4.485113e+07  NaN   488.0     d"
489,489,4552156190,5124502146,2023-06-24 15:35:30,,0 days 00:05:59,2023-06-24 15:41:29,,False,,3595,7.5,False,100,489,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.552156e+09  NaN   489.0     o
2  5.124502e+09  NaN   489.0     d"
490,490,7229895332,1413910876,2023-06-24 15:36:11,,0 days 00:04:48,2023-06-24 15:40:59,,False,,2884,7.5,False,100,490,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  7.229895e+09  NaN   490.0     o
2  1.413911e+09  NaN   490.0     d"
491,491,486605682,1569975197,2023-06-24 15:36:47,,0 days 00:04:24,2023-06-24 15:41:11,,False,,2646,7.5,False,100,491,0,"           node time  req_id    od
0           NaN  NaN     NaN  None
1  4.866057e+08  NaN   491.0     o
2  1.569975e+09  NaN   491.0     d"
